iter	RMSE
0	2.591477039
1	2.584639928
2	2.569252674
3	2.555726559
4	2.548603588
5	2.531512573
6	2.514309526
7	2.496427715
8	2.489888451
9	2.476818247
10	2.458459167
11	2.453289525
12	2.44237948
13	2.428497578
14	2.418624401
15	2.406312007
16	2.392570211
17	2.381472854
18	2.374426492
19	2.35976207
20	2.345652833
21	2.331637531
22	2.325459459
23	2.320833136
24	2.308563306
25	2.301362292
26	2.291466788
27	2.280220802
28	2.272517017
29	2.258395655
30	2.248353941
31	2.241043456
32	2.232708806
33	2.218111929
34	2.205101904
35	2.196838041
36	2.187642356
37	2.184532449
38	2.170914139
39	2.162167196
40	2.149526624
41	2.137269666
42	2.128097395
43	2.113663779
44	2.095767215
45	2.083629568
46	2.073287573
47	2.067438038
48	2.056199721
49	2.046169472
50	2.037354193
51	2.025719517
52	2.015269611
53	2.004327798
54	1.995743042
55	1.983719676
56	1.979332227
57	1.972158311
58	1.9653106
59	1.949986894
60	1.940124865
61	1.929560967
62	1.92154991
63	1.909346155
64	1.901382052
65	1.896118495
66	1.887476456
67	1.87701435
68	1.868201295
69	1.860797404
70	1.853007845
71	1.842987941
72	1.833234769
73	1.823876141
74	1.818512153
75	1.810437722
76	1.802527981
77	1.795540587
78	1.787698929
79	1.77885294
80	1.766773486
81	1.76019066
82	1.747179409
83	1.73907104
84	1.729069272
85	1.722974687
86	1.711817329
87	1.705135177
88	1.696499088
89	1.687509266
90	1.68225993
91	1.675615512
92	1.667258652
93	1.656685622
94	1.646941513
95	1.63916111
96	1.629156562
97	1.622427328
98	1.617265786
99	1.609660587
100	1.599191632
101	1.59053637
102	1.581013329
103	1.574171569
104	1.565851996
105	1.558265286
106	1.552506432
107	1.548370225
108	1.546190718
109	1.540741133
110	1.534708618
111	1.527635253
112	1.524675882
113	1.510967908
114	1.502978885
115	1.493327119
116	1.485726034
117	1.477564328
118	1.468613816
119	1.464873874
120	1.457758822
121	1.450270652
122	1.441300082
123	1.43633964
124	1.429273522
125	1.424169578
126	1.415263849
127	1.407964472
128	1.399594263
129	1.397448185
130	1.388151979
131	1.384974383
132	1.379123915
133	1.374952535
134	1.368038045
135	1.358157195
136	1.355322014
137	1.353413025
138	1.341364504
139	1.334442753
140	1.331190109
141	1.326573687
142	1.323801148
143	1.313864865
144	1.311688921
145	1.304045319
146	1.296555047
147	1.295216769
148	1.289035932
149	1.280673046
150	1.277189325
151	1.273338639
152	1.27194182
153	1.265226543
154	1.260063003
155	1.256474072
156	1.253291212
157	1.249031203
158	1.243936261
159	1.237342675
160	1.231202601
161	1.223413769
162	1.21718113
163	1.21289559
164	1.210399862
165	1.206506716
166	1.203889823
167	1.198115512
168	1.190205833
169	1.182427458
170	1.176111232
171	1.169565457
172	1.162565377
173	1.159188439
174	1.150841912
175	1.145425479
176	1.141196666
177	1.138492296
178	1.130109277
179	1.124344843
180	1.118020144
181	1.110114796
182	1.103117542
183	1.095486608
184	1.092311267
185	1.087276979
186	1.084655794
187	1.079040303
188	1.07282518
