iter	Passed	Remaining
0	8	8677
1	15	7843
2	22	7375
3	29	7250
4	36	7224
5	43	7256
6	52	7429
7	61	7667
8	68	7564
9	74	7399
10	81	7369
11	89	7336
12	96	7302
13	103	7261
14	110	7256
15	117	7221
16	123	7152
17	130	7132
18	137	7102
19	144	7080
20	150	7029
21	157	7013
22	164	6987
23	171	6962
24	177	6928
25	183	6890
26	190	6874
27	200	6957
28	212	7124
29	220	7132
30	227	7105
31	234	7090
32	241	7069
33	247	7045
34	255	7033
35	261	7009
36	268	6983
37	274	6953
38	280	6918
39	286	6883
40	294	6897
41	301	6887
42	309	6888
43	317	6902
44	328	6966
45	336	6970
46	344	6980
47	351	6962
48	357	6931
49	365	6937
50	372	6926
51	378	6905
52	385	6886
53	392	6867
54	398	6855
55	405	6830
56	411	6815
57	419	6808
58	426	6805
59	434	6810
60	440	6783
61	446	6751
62	452	6730
63	458	6701
64	466	6705
65	472	6686
66	479	6678
67	485	6659
68	493	6661
69	500	6649
70	506	6633
71	513	6620
72	519	6602
73	526	6585
74	533	6574
75	539	6564
76	548	6569
77	554	6560
78	561	6550
79	568	6538
80	574	6521
81	582	6515
82	589	6509
83	595	6497
84	602	6487
85	608	6468
86	615	6463
87	622	6453
88	629	6442
89	636	6435
90	642	6422
91	650	6418
92	657	6414
93	664	6400
94	670	6391
95	677	6379
96	683	6362
97	690	6358
98	697	6348
99	703	6335
100	710	6323
101	717	6313
102	723	6298
103	729	6288
104	737	6283
105	743	6272
106	750	6262
107	757	6259
108	765	6257
109	771	6244
110	778	6236
111	785	6224
112	791	6213
113	798	6205
114	805	6199
115	812	6189
116	818	6178
117	825	6169
118	832	6161
119	838	6150
120	845	6139
121	851	6129
122	858	6120
123	864	6109
124	872	6104
125	878	6096
126	885	6086
127	892	6080
128	898	6065
129	904	6053
130	911	6046
131	917	6035
132	924	6024
133	930	6015
134	937	6008
135	945	6005
136	951	5995
137	958	5988
138	965	5980
139	972	5972
140	978	5963
141	986	5959
142	992	5949
143	999	5942
144	1006	5936
145	1012	5923
146	1019	5914
147	1025	5903
148	1033	5901
149	1041	5899
150	1049	5900
151	1057	5902
152	1064	5890
153	1071	5887
154	1078	5880
155	1086	5875
156	1094	5878
157	1103	5879
158	1110	5874
159	1118	5870
160	1127	5873
161	1136	5877
